TIPO_REG;PAIS;P_DEPTO;P_MUNIC;UC_UO;ENCUESTA;COD_VEREDA;P_S6P45B;P_S6P45A;P_S6P46;P_S6P47A;P_S6P47B;P_S6P48;P_S6P50;P_S6P51_SP1;P_S6P51_SP2;P_S6P51_SP3;P_S6P53;P_S6P57A;P_S6P59_UNIF;P_S6P60;AREA_SEMBRADA;AREA_COSECHADA
4;170;08;08137;00120001;040068590;08137001;1;1;00131701001;10;2012;2;2;;1;;;3.7074040067;17.950875046;12;0.206530545;0.206530545
4;170;08;08137;00120001;040068590;08137001;1;1;00131601001;3;2004;2;2;;1;;;0.7026809114;3.4023098684;12;0.206530545;0.206530545
4;170;08;08137;00120001;040068590;08137001;1;1;00132201001;1;1992;2;;;;;;2.8804200154;13.946702243;;0.206530545;0.206530545
4;170;08;08137;00120001;040068590;08137001;1;1;00131201001;10;2011;2;2;;1;;;0.7714287705;3.7351800453;12;0.206530545;0.206530545
4;170;08;08137;00120001;040068590;08137001;2;1;00196103030;1;2006;1;;;;;;0;;;0.4602399765;0
4;170;08;08137;00120001;040069189;08137001;1;2;00193002012;7;2013;2;2;;1;;;0;;12;0.6667705215;0
4;170;08;08137;00136181;040068944;08137001;1;1;09999999903;1;2013;1;;;;;;9.2902174446;2.445109509;;3.7995097604;3.7995097604
4;170;08;08137;00136181;040068944;08137001;2;2;00159301001;7;2013;1;2;;1;;;0;;12;1.0361318097;0
4;170;08;08137;00136181;040068944;08137001;3;2;00159301001;7;2013;1;2;;1;;;0;;12;0.9648456946;0
4;170;08;08137;00136181;040068944;08137001;4;2;00159301001;7;2013;1;2;;1;;;0;;12;0.9379376937;0
4;170;08;08137;00136181;040068944;08137001;5;2;00159301001;7;2013;1;2;;1;;;0;;12;0.9641784645;0
4;170;08;08137;00136181;040068944;08137001;6;2;00159301001;7;2013;1;2;;1;;;0;;12;0.9701796398;0
4;170;08;08137;00136181;040068944;08137001;7;2;00159301001;7;2013;1;2;;1;;;0;;12;0.9726748775;0
4;170;08;08137;00136181;040068944;08137001;8;2;00159301001;7;2013;1;2;;1;;;0;;12;1.0181341776;0
4;170;08;08137;00136181;040068944;08137001;9;2;00159301001;7;2013;1;2;;1;;;0;;12;0.9662385446;0
