TIPO_REG;PAIS;P_DEPTO;P_MUNIC;UC_UO;ENCUESTA;COD_VEREDA;P_S6P45B;P_S6P45A;P_S6P46;P_S6P47A;P_S6P47B;P_S6P48;P_S6P50;P_S6P51_SP1;P_S6P51_SP2;P_S6P51_SP3;P_S6P53;P_S6P57A;P_S6P59_UNIF;P_S6P60;AREA_SEMBRADA;AREA_COSECHADA
4;170;25;25035;00010000;083146534;25245031;1;2;09999999901;;2013;1;3;;1;;;0.0011841734;0.3358159561;;0.0035262572;0.0035262572
4;170;25;25035;00010000;083150114;25035019;1;1;00131901001;11;1996;2;2;;1;;;0.0271866826;1.9143658375;12;0.014201404;0.014201404
4;170;25;25035;00010000;083150114;25035019;1;1;00132401001;11;1992;2;2;;1;;;0.2143240715;15.091752353;12;0.014201404;0.014201404
4;170;25;25035;00010000;083150114;25035019;2;1;00192908001;11;2011;1;;;;;;0.1985104592;0.9255334363;;0.2144822125;0.2144822125
4;170;25;25035;00010001;060460899;25035022;1;1;00132301002;12;1992;2;;;;;;3.2329222413;11.554133173;;0.2798065586;0.2798065586
4;170;25;25035;00010001;060460899;25035022;1;1;00131601001;12;2005;2;2;;1;;;0.965289653;3.4498464144;12;0.2798065586;0.2798065586
4;170;25;25035;00010001;060460899;25035022;2;1;00131201001;8;2012;1;2;;1;;;9.6988748917;5.3317013875;12;1.819095667;1.819095667
4;170;25;25035;00010001;060460899;25035022;3;1;00132301002;12;1992;1;;;;;;3.725373971;11.554133173;;0.32242782;0.32242782
4;170;25;25035;00010001;060460946;25035010;1;1;00132301002;11;1997;2;;;;;;10.841451565;11.554133173;;0.9383180376;0.9383180376
4;170;25;25035;00010001;060460946;25035010;1;1;00131601001;11;1999;2;2;;1;;;3.2370531175;3.4498464144;12;0.9383180376;0.9383180376
4;170;25;25035;00010001;060460946;25035010;2;1;00131201001;8;2012;1;2;;1;;;32.524717944;5.3317013875;12;6.1002512294;6.1002512294
4;170;25;25035;00010001;060460946;25035010;3;1;00132301002;11;1994;1;;;;;;12.492865476;11.554133173;;1.08124645;1.08124645
4;170;25;25035;00011636;060460900;25035022;1;1;00131601001;12;1996;1;2;;1;;;0.0446551047;3.4498464144;12;0.0129440849;0.0129440849
4;170;25;25035;00012833;060460901;25035022;1;1;00131601001;12;1991;2;2;;1;;;1.0598256953;3.4498464144;12;0.3072095299;0.3072095299
4;170;25;25035;00012833;060460901;25035022;1;1;00132301002;12;1992;2;;;;;;3.5495398209;11.554133173;;0.3072095299;0.3072095299
4;170;25;25035;00012833;060460901;25035022;2;1;00131201001;8;2011;1;2;;1;;;10.648738511;5.3317013875;12;1.997249609;1.997249609
4;170;25;25035;00012833;060460901;25035022;3;1;00132301002;12;1992;1;;;;;;4.0902202207;11.554133173;;0.35400494;0.35400494
4;170;25;25035;00020001;060453843;25035002;1;1;00132301002;12;1992;2;;;;;;0.9833755634;11.554133173;;0.0851102847;0.0851102847
4;170;25;25035;00020001;060453843;25035002;1;1;00131601001;12;2000;2;2;;1;;;0.2936174104;3.4498464144;12;0.0851102847;0.0851102847
4;170;25;25035;00020001;060453843;25035002;2;1;00131201001;8;2013;1;2;;1;;;0;;12;0.5533242175;0
4;170;25;25035;00020001;060453843;25035002;3;1;00132301002;12;1992;1;;;;;;1.1331672204;11.554133173;;0.09807462;0.09807462
4;170;25;25035;00020001;060459084;25035026;1;1;00132401001;11;1993;2;;;;;;4.3103683072;15.091752353;;0.2856108559;0.2856108559
4;170;25;25035;00020001;060459084;25035026;1;1;00131601001;11;2013;2;2;;1;;;0;;12;0.2856108559;0
4;170;25;25035;00020001;060459084;25035026;2;1;00132401001;11;1992;2;;;;;;28.022832848;15.091752353;;1.8568309493;1.8568309493
4;170;25;25035;00020001;060459084;25035026;2;2;00112201001;11;2013;2;2;;1;;;0;;12;1.8568309493;0
4;170;25;25035;00020001;060459084;25035026;2;2;00112201001;6;2013;2;2;;1;;;5.9117155342;3.1837661562;12;1.8568309493;1.8568309493
4;170;25;25035;00020001;060459084;25035026;3;1;00131701001;8;2012;1;2;;1;;;6.9351747384;21.072112142;12;0.32911626;0.32911626
4;170;25;25035;00030000;083111256;25035018;1;1;00131601001;9;2013;1;2;;1;;;0;;12;0.0173690085;0
4;170;25;25035;00030000;083111256;25035018;2;1;00191999054;9;2013;1;2;;1;;;0;;12;0.8026787198;0
4;170;25;25035;00030000;083111256;25035018;3;1;00132301002;9;1993;2;;;;;;4.7623494079;11.554133173;;0.4121771263;0.4121771263
4;170;25;25035;00030000;083111256;25035018;3;1;00132201001;9;1996;2;2;;1;;;5.22213766;12.669644498;12;0.4121771263;0.4121771263
4;170;25;25035;00030000;083111256;25035018;4;1;00132401001;9;1992;1;2;;1;;;6.1778691213;15.091752353;12;0.4093539953;0.4093539953
4;170;25;25035;00030000;083111256;25035018;5;1;16100100107;4;1995;1;1;;1;;;0.1219540888;1.08;12;0.1129204526;0.1129204526
4;170;25;25035;00030000;083111256;25035018;6;1;00131201001;6;1992;1;2;;1;;;0.1067125104;5.3317013875;12;0.02001472;0.02001472
4;170;25;25035;00030001;060460166;25035024;1;1;00132401001;12;1992;2;;;;;;23.802062267;15.091752353;;1.5771569603;1.5771569603
4;170;25;25035;00030001;060460166;25035024;1;1;00131601001;12;1995;2;2;;1;;;5.4409492844;3.4498464144;12;1.5771569603;1.5771569603
4;170;25;25035;00030001;060460166;25035024;2;2;00112201001;12;2013;1;2;;1;;;0;;12;10.253510292;0
4;170;25;25035;00030001;060460166;25035024;2;2;00112201001;7;2013;1;2;;1;;;32.47280242;3.1669936924;12;10.253510292;10.253510292
4;170;25;25035;00030001;060460166;25035024;3;1;00131701001;8;2012;1;2;;1;;;38.296370211;21.072112142;12;1.8173959;1.8173959
4;170;25;25035;00040000;083143112;25035007;1;1;00131601001;11;2011;2;2;;1;;;0;;12;0.1172476885;0
4;170;25;25035;00040000;083143112;25035007;1;1;00132401001;11;1995;2;;;;;;1.7694730785;15.091752353;;0.1172476885;0.1172476885
4;170;25;25035;00040000;083143112;25035007;2;1;00132401001;11;1992;2;;;;;;11.120819308;15.091752353;;0.7368805853;0.7368805853
4;170;25;25035;00040000;083143112;25035007;2;1;00132201001;11;1994;2;2;;1;;;9.3360150536;12.669644498;12;0.7368805853;0.7368805853
4;170;25;25035;00040000;083143112;25035007;3;1;09999999903;10;2013;1;;;;;;0.7210187947;0.8892368287;;0.8108287595;0.8108287595
4;170;25;25035;00040000;083143112;25035007;4;1;00131701001;7;2012;1;2;;1;;;2.8469970197;21.072112142;12;0.13510734;0.13510734
4;170;25;25035;00040000;083146417;25245031;1;1;00131601001;11;1997;2;2;;1;;;0.1608984592;3.4498464144;12;0.0466393108;0.0466393108
4;170;25;25035;00040000;083146417;25245031;1;1;00132202001;11;2003;2;;;;;;0.5235762126;11.226070955;;0.0466393108;0.0466393108
4;170;25;25035;00040000;083146417;25245031;2;1;16100100110;5;1992;1;1;;1;;;0.4366286503;1.44;12;0.3032143405;0.3032143405
4;170;25;25035;00040000;083146417;25245031;3;1;16100100105;5;1992;1;1;;1;;;0.0386953848;0.72;12;0.05374359;0.05374359
4;170;25;25035;00040000;083150021;25035001;1;1;00131601001;10;1997;1;2;;1;;;0.0482261806;3.4498464144;12;0.0139792254;0.0139792254
4;170;25;25035;00040000;083150021;25035001;2;1;16100100105;4;1992;1;1;;1;;;0.0085997121;0.72;12;0.0119440446;0.0119440446
4;170;25;25035;00040001;060460170;25035024;1;1;00131601001;12;2004;2;2;;1;;;0.9536790722;3.4498464144;12;0.2764410231;0.2764410231
4;170;25;25035;00040001;060460170;25035024;1;1;00132401001;12;1994;2;;;;;;4.1719794602;15.091752353;;0.2764410231;0.2764410231
4;170;25;25035;00040001;060460170;25035024;2;1;00132401001;12;1994;2;;;;;;27.123130223;15.091752353;;1.7972154319;1.7972154319
4;170;25;25035;00040001;060460170;25035024;2;2;00112201001;12;2013;2;2;;1;;;0;;12;1.7972154319;0
4;170;25;25035;00040001;060460170;25035024;2;2;00112201001;7;2013;2;2;;1;;;6.0207735185;3.3500566552;12;1.7972154319;1.7972154319
4;170;25;25035;00040001;060460170;25035024;3;1;00131701001;8;2013;1;2;;1;;;0;;12;0.31854963;0
4;170;25;25035;00050000;083111233;25035001;1;1;00131601001;9;1997;1;2;;1;;;0.0829691947;3.4498464144;12;0.0240501126;0.0240501126
4;170;25;25035;00050000;083111233;25035001;2;1;00132202001;9;2005;2;;;;;;5.4326551292;11.226070955;;0.4839320142;0.4839320142
4;170;25;25035;00050000;083111233;25035001;2;1;16100100101;4;1992;2;1;;1;;;0.3484310502;0.72;12;0.4839320142;0.4839320142
4;170;25;25035;00050000;083111233;25035001;3;1;00132202001;9;2013;2;;;;;;0;;;0.6920862474;0
4;170;25;25035;00050000;083111233;25035001;3;1;00131301001;6;1993;2;2;;1;;;3.5584459913;5.1416221676;12;0.6920862474;0.6920862474
4;170;25;25035;00050000;083111233;25035001;4;1;16100100105;4;2013;1;1;;1;;;0;;12;0.1563560685;0
4;170;25;25035;00050000;083111233;25035001;5;1;00131201001;6;1993;1;2;;1;;;0.147760213;5.3317013875;12;0.02771352;0.02771352
4;170;25;25035;00050001;060454618;25035022;1;1;00131601001;12;1997;1;2;;1;;;0.034800494;3.4498464144;12;0.0100875488;0.0100875488
4;170;25;25035;00050001;060454618;25035022;2;1;00131201001;8;1992;1;2;;1;;;0.3496624681;5.3317013875;12;0.0655817801;0.0655817801
4;170;25;25035;00050001;060454618;25035022;3;1;00132301002;12;1992;1;;;;;;0.1343066305;11.554133173;;0.01162412;0.01162412
4;170;25;25035;00050001;060457299;25599004;1;1;00132401001;11;1992;2;;;;;;31.904680042;15.091752353;;2.1140474145;2.1140474145
4;170;25;25035;00050001;060457299;25599004;1;1;16100100107;5;2013;2;1;;1;;;0;;12;2.1140474145;0
4;170;25;25035;00050001;060460956;25035010;1;1;00132301002;12;1992;2;;;;;;1.4815115273;11.554133173;;0.1282235115;0.1282235115
4;170;25;25035;00050001;060460956;25035010;1;1;00131601001;12;2009;2;2;;1;;;0.4423514212;3.4498464144;12;0.1282235115;0.1282235115
4;170;25;25035;00050001;060460956;25035010;3;1;00132301002;12;1992;1;;;;;;1.7071814092;11.554133173;;0.14775504;0.14775504
4;170;25;25035;00060000;083150008;25035019;1;1;00132301002;11;1992;2;;;;;;0.8801323969;11.554133173;;0.07617468;0.07617468
4;170;25;25035;00060000;083150008;25035019;1;1;00132201001;11;1992;2;2;;1;;;0.9651061151;12.669644498;12;0.07617468;0.07617468
4;170;25;25035;00060001;060457193;25035024;1;1;00132401001;12;1994;2;;;;;;2.9099969464;15.091752353;;0.1928203484;0.1928203484
4;170;25;25035;00060001;060457193;25035024;1;1;00131601001;12;2001;2;2;;1;;;0.6652005875;3.4498464144;12;0.1928203484;0.1928203484
4;170;25;25035;00060001;060457193;25035024;2;1;00132401001;12;1994;2;;;;;;18.91865219;15.091752353;;1.2535755787;1.2535755787
4;170;25;25035;00060001;060457193;25035024;2;2;00112201001;12;2013;2;2;;1;;;0;;12;1.2535755787;0
4;170;25;25035;00060001;060457193;25035024;2;2;00112201001;7;2013;2;2;;1;;;3.9724890077;3.1689266089;12;1.2535755787;1.2535755787
4;170;25;25035;00060001;060457193;25035024;3;1;00131701001;8;2012;1;2;;1;;;4.6820448371;21.072112142;12;0.22219153;0.22219153
4;170;25;25035;00070000;083111238;25035005;1;1;00131601001;9;1997;2;2;;1;;;0.2258319399;3.4498464144;12;0.0654614475;0.0654614475
4;170;25;25035;00070000;083111238;25035005;1;1;00132401001;9;2013;2;;;;;;0;;;0.0654614475;0
4;170;25;25035;00070000;083111238;25035005;2;1;00192908001;9;1998;1;;;;;;0.3747049898;0.8277115838;;0.4526999466;0.4526999466
4;170;25;25035;00070000;083111238;25035005;3;1;00131201001;6;2013;1;2;;1;;;0;;12;0.0754328;0
4;170;25;25035;00070000;083111255;25035001;1;1;00132301002;9;1992;2;2;;1;;;0.1448145465;11.554133173;12;0.0125335708;0.0125335708
4;170;25;25035;00070000;083111255;25035001;1;1;00131601001;9;2000;2;2;;1;;;0.0432388944;3.4498464144;12;0.0125335708;0.0125335708
4;170;25;25035;00070000;083111255;25035001;2;1;00196104046;3;2006;1;2;;1;;2;0;;12;1.1926704421;0
4;170;25;25035;00070000;083111255;25035001;3;1;16100100105;4;1992;1;1;;1;;;0.0272582087;0.72;12;0.0378586231;0.0378586231
4;170;25;25035;00070000;083111261;25035022;1;1;00131601001;11;1991;1;2;;1;;;0.0370142776;3.4498464144;12;0.0107292538;0.0107292538
4;170;25;25035;00070000;083111261;25035022;2;1;09999999903;10;2013;1;;;;;;0.3131642024;0.8979146782;;0.3487683295;0.3487683295
4;170;25;25035;00070000;083111261;25035022;3;1;00131701001;7;2012;1;2;;1;;;0.2605265335;21.072112142;12;0.01236357;0.01236357
4;170;25;25035;00070000;083143102;25035005;1;1;00131601001;9;2010;2;2;;1;;;0.0474447257;3.4498464144;12;0.0137527066;0.0137527066
4;170;25;25035;00070000;083143102;25035005;1;1;00132401001;9;1992;2;2;;1;;;0.2075524427;15.091752353;12;0.0137527066;0.0137527066
4;170;25;25035;00070000;083143102;25035005;2;1;00191999054;9;2013;1;2;;1;;;0;;12;0.7644652261;0
4;170;25;25035;00070000;083143102;25035005;3;1;00191999054;9;2013;1;2;;1;;;0;;12;0.7644652261;0
4;170;25;25035;00070000;083143102;25035005;4;1;00192908001;9;1998;1;;;;;;0.199107506;0.9586044783;;0.2077055872;0.2077055872
4;170;25;25035;00070000;083146422;25245031;1;1;00132401001;11;1993;2;2;;1;;;2.7244761605;15.091752353;12;0.1805274892;0.1805274892
4;170;25;25035;00070000;083146422;25245031;1;1;00131601001;11;1996;2;2;;1;;;0.6227921114;3.4498464144;12;0.1805274892;0.1805274892
4;170;25;25035;00070000;083146422;25245031;2;1;00132202001;11;2013;2;;;;;;0;;;1.173656475;0
4;170;25;25035;00070000;083146422;25245031;2;1;16100100110;5;1992;2;1;;1;;;1.690065324;1.44;12;1.173656475;1.173656475
4;170;25;25035;00070000;083146422;25245031;3;1;16100100105;5;1992;1;1;;1;;;0.0193310712;0.72;12;0.02684871;0.02684871
4;170;25;25035;00070000;083146422;25245031;5;2;00112201001;5;2013;1;2;;1;;;0.3341302787;2.9044032772;12;0.11504266;0.11504266
4;170;25;25035;00070000;083146422;25245031;5;2;00112201001;10;2013;1;2;;1;;;0;;12;0.11504266;0
4;170;25;25035;00070000;083150247;25035006;1;1;00131601001;11;1994;1;2;;1;;;0.0512979642;3.4498464144;12;0.0148696371;0.0148696371
